acteurs,annee,description,duree,genre,nombreDeSaisons,nombreEpisodes,paysOrigine,realisateur,scorePresse,scoreSpectateur,title,titreOriginal
"Joseph Gilgun,Natasha O'Keeffe,Karla Crome",2009 - 2013,"Cinq jeunes marginaux qui n'ont rien en commun se retrouvent en même temps à devoir remplir des travaux d'intérêts généraux. Un jour, ils essuient un puissant et étrange orage et, au sortir, se retrouvent tous affublés de supers pouvoirs...",45 min,"Comédie,Drame,Fantastique",5 Saisons,38 Episodes, Grande-Bretagne,Howard Overman,"4,1",,Misfits,
"Stephen Amell,Stephen Amell,Alexander Ludwig",2021 - 2023,"Dans une communauté très unie de Géorgie, une association familiale de lutte professionnelle oppose deux frères rivaux qui se disputent l'héritage de leur défunt père. Si sur le ring, un gentil, le ""personnage principal"", est mis en scène face à son ennemi juré, le ""personnage secondaire"", dans le monde réel, il peut être difficile de se hisser à la hauteur de ces personnages - ou de les laisser derrière soi.",60 min,Drame,2 Saisons,16 Episodes, U.S.A.,"Michael Waldron,Jeff Luini","3,2","3,8",Heels,
"Eric Judor,Ramzy Bedia,Jamel Debbouze",1998 - 2002,"Dans un hôpital de banlieue parisienne, 3 internes entretiennent une ambiance un peu décalée. Entre gaffes, plaisanteries de mauvais goût et autres erreurs, on ne s'ennuie jamais avec Sabri, Aymé et Jamel !",26 min,Comédie,4 Saisons,71 Episodes, France,"Kader Aoun,Xavier Matthew,Eric Judor","3,3",,H,
"Lucrezia Guidone,Michele Riondino",Depuis 2022,Un couple de trentenaires doit faire face aux répercussions sur leur relation quand ils commencent à désirer d’autres personnes.,60 min,"Drame,Romance",1 Saison,6 Episodes, Italie,"Elisa Amoruso,Laura Colella","3,4",,Chaque fidélité,Fedeltà
"Tom Selleck,Tom Selleck,Donnie Wahlberg",Depuis 2010,"Chez les Reagan, la ""Loi"" est une histoire de famille. Henry était commissaire général de New York, son fils Frank lui a succédé. Et la tradition perdure avec les enfants de ce dernier: Danny est inspecteur à la crim', Erin travaille au bureau du procureur et Jamie, le petit dernier, vient d'entrer dans la police. Quant à Joseph, qui était un des meilleurs inspecteurs dans les rangs de la police, sa mort pourrait être liée à la société secrète baptisée ""The Blue Templar"", regroupant des flics pourris...",42 min,"Policier,Drame",14 Saisons,293 Episodes, U.S.A.,"Robin Green,Mitchell Burgess","3,9",,Blue Bloods,
"Aliyah Royale,Alexa Mansour,Hal Cumpston",2020 - 2021,"Ce second , de la franchise , est consacré à la première génération de survivants ayant grandi après le déclenchement de l'apocalypse. Jusqu'alors protégées des dangers du monde post-apocalyptique, Iris et Hope Bennett décident de quitter la sécurité du seul foyer qu’elles n’aient jamais connu pour venir en aide à leur père. Accompagnées d'autres adolescents, les jeunes filles entreprennent un long voyage à travers le pays. Aucun doute que tous les membres du groupe sortiront de ce périple changés à jamais. Si certains trouveront en eux la force de se comporter en héros, d’autres pourraient basculer dans le camp du mal...",60 min,"Drame,Epouvante-horreur",2 Saisons,20 Episodes, U.S.A.,"Scott M. Gimple,Matthew Negrete","2,4","1,8",The Walking Dead: World Beyond,
"Jacob Latimore,Jacob Latimore,Alex R. Hibbert",Depuis 2018,"Au sein d'une petite communauté au sud de Chicago, les enfants se préparent pour l’école et leurs parents partent travailler. Les jeunes tentent de gagner leur vie, pendant que leurs aînés veillent depuis leur porche. Mais dans ce quartier difficile, de réels dangers menacent chaque jour de détruire des rêves, et les décisions les plus simples peuvent avoir des conséquences de vie ou de mort. Dans ce contexte, les vies interconnectées d'Emmett, Brandon, Ronnie et Kevin, confrontés au passage à l'âge adulte, prennent des tournures inattendues.",42 min,Drame,7 Saisons,66 Episodes, U.S.A.,"Lena Waithe,Elwood Reid","3,6",,The Chi,
"Baraka Rahmani,Alex Ozerov,Christopher Jacot",Depuis 2016,"D'ignobles tueurs en série sèment l'effroi tandis que leurs prochaines victimes luttent pour leur survie dans cette terrifiante série d'anthologie., - De retour dans sa ville natale, Sarah Bennett fait face aux démons de son enfance alors qu'un tueur en série s'emploie à recréer les meurtres sanglants du passé., - De retour dans le camp de vacances isolé où un crime a été commis il y a des années, d'anciens moniteurs voient leur passé revenir les hanter., - Les habitants d'un immeuble ayant autrefois ignoré l'appel à l'aide de leur voisin vivent désormais sous la torture d'un tueur masqué... et d'Internet., - Poussés à s'entretuer sur une île déserte, les membres d'une riche famille dysfonctionnelle sont pris pour cible par un tueur en série masqué., - À la fin du XIXème siècle, un détective nouvellement promu traque The Widow, un tueur qui sème la terreur dans les rues de Londres en rendant justice aux riches et aux puissants.",48 min,"Epouvante-horreur,Thriller",5 Saisons,40 Episodes, U.S.A.,Aaron Martin,"3,5",,Slasher,
"Aaron LaPlante,Aaron LaPlante,Tom Kenny",Depuis 2019,L'amitié improbable entre un homme des cavernes à l'aube de l'évolution et un dinosaure dont l'espèce est sur le point de s'éteindre. Les deux s'unissent pour leur survie dans un monde primaire et violent.,30 min,"Action,Animation,Comédie",3 Saisons,30 Episodes, U.S.A.,Genndy Tartakovsky,"4,3",,Primal,
"Toby Wallace,Sydney Chandler,Christian Lees",2022,"L’histoire d’une insurrection musicale, celle des Sex Pistols, telle que l’a vécue Steve Jones, le guitariste et membre fondateur du groupe. Ses souvenirs hilarants, émouvants et parfois déchirants nous font revivre, dans un récit kaléidoscopique, trois des années les plus extraordinaires, les plus chaotiques et les plus obscènes de toute l’histoire de la musique, ou comment un groupe de jeunes prolétaires boutonneux, turbulents et « sans avenir » a fait trembler l’ordre établi, failli renverser le gouvernement, et révolutionné la musique et la culture populaire.",60 min,"Biopic,Musical",1 Saison,6 Episodes," U.S.A., Grande-Bretagne",Craig Pearce,"3,8",,Pistol,
,Depuis 2021,"Cette série documentaire revient sur le chemin parcouru par Orelsan depuis ses débuts, à travers une immersion intime dans les coulisses de sa vie racontée et filmée en majeure partie par son frère Clément qui l’a suivi pendant près de 20 ans avec sa caméra. A travers de nombreuses archives personnelles et des vidéos filmées et conservées par Clément, Orelsan – Montre jamais ça à personne dévoile l’ascension de l’artiste filmé avec ses proches tels que Skread, Ablaye, Gringe et certains membres de sa famille. La série documentaire comporte aussi des témoignages de plusieurs guests, à l’instar de Soprano, Akhenaton, Oxmo Puccino, Stromaé ou GIMS. Orelsan – Montre jamais ça à personne est le témoignage touchant de Clément, qui a toujours cru que son frère réaliserait son rêve de devenir l’un des rappeurs français les plus reconnus.",42 min,Documentaire,1 Saison,10 Episodes, France,"Clément Cotentin,Christophe Offenstein","4,4",,Orelsan – Montre Jamais ça à Personne,
"Marina Hands,Mathieu Demy, Minette",Depuis 2019,"Mère et épouse dévouée, Elvira se sent de plus en plus transparente aux yeux des siens. Un jour, elle cède à la tentation d'un mensonge énorme et tabou pour retrouver amour et attention. Elvira deviendra-t-elle l'héroïne de sa propre vie ?",45 min,Comédie dramatique,2 Saisons,12 Episodes, France,"Fabrice Gobert,Anne Berest","3,7","3,1",Mytho,
"Hélène Fillières,Jean-Pierre Kalfon,Phareelle Onoyan",2006 - 2014,"Par la volonté de son oncle mort assassiné, Sandra Paoli, 30 ans, est propulsée à la tête d'un puissant clan mafieux . Une femme isolée, haïe et respectée à la fois dans un monde d'hommes, de violence, de meurtres, de racket et de mises à mort politiques. Pour se montrer à la hauteur, la jeune femme va devoir séduire, manipuler, réinventer le clan à sa manière !",52 min,Drame,5 Saisons,40 Episodes, France,Hugues Pagan,"3,6",,Mafiosa,
,Depuis 2019,Version québecoise de Dix pour cent,,Comédie,,, Québec,,,,Les Invisibles,
"Erin Krakow,Erin Krakow,Kavan Smith",Depuis 2014,"L'histoire d'Elizabeth Thatcher, jeune enseignante habituée à la vie en haute société, qui obtient son premier poste dans une petite ville minière de charbon dirigée par deux veuves, Abigail Stanton et Frances Tunnecliffe.",60 min,"Drame,Historique,Romance",12 Saisons,128 Episodes, U.S.A.,Michael Landon Jr.,"3,6",,Le Coeur a ses raisons,When Calls the Heart
"Gabriel Byrne,Andrea Riseborough,Dane DeHaan",Depuis 2020,"Une immersion dans les arcanes du marché mondial de la cocaïne, depuis sa naissance, jusqu’à la livraison finale sur les lieux de consommation.",52 min,Drame,1 Saison,8 Episodes," Italie, France, U.S.A.","Stefano Sollima,Leonardo Fasoli","3,4","3,4",ZeroZeroZero,
"Audrey Fleurot,Thierry Neuvic,Sumaï Cardenas",2023,"Chimiste dans la police, Aurélie élève seule son fils depuis la mort de son compagnon. Quand le commissaire Max Vernet a recours à ses compétences pour enquêter sur l’UBH, une nouvelle drogue de synthèse, qui commence à faire des victimes, elle ne se doute pas qu’elle va se retrouver infiltrée au cœur d’un réseau de jeunes et dangereux trafiquants. Face au charismatique Jésus, qui tient le réseau depuis Marseille, a-t-elle une chance de mener à bien sa mission ? Pour sauver son fils, Aurélie n’a plus le choix. L’amour maternel est une drogue dure…",52 min,"Policier,Thriller",1 Saison,6 Episodes, France,"Frédéric Krivine,Emmanuel Daucé","3,3","2,7",Infiltré(e),
"Henriette Confurius,Oliver Masucci,David Ali Rashed",2021,"En 2070, trois frères et soeurs luttent pour leur survie dans une Europe meurtrie, fracturée en plusieurs micro-états après une mystérieuse catastrophe mondiale. Chacune des tribus souhaite dominer l'ensemble du continent européen.",45 min,"Aventure,Drame,Science Fiction",1 Saison,6 Episodes, Allemagne,"Philip Koch,Florian Baxmeyer","3,6","3,4",Tribes Of Europa,
"Martin Freeman,Martin Freeman,Adelayo Adedayo",Depuis 2022,"Chris, un agent d’intervention d’urgence souffrant de crises, est contraint de faire équipe avec une nouvelle recrue. Dans les quartiers dangereux de Liverpool, ils ne pourront survivre la nuit qu'en se serrant les coudes. Sans cela, leur destruction mutuelle est assurée.",60 min,"Policier,Drame",2 Saisons,10 Episodes, Grande-Bretagne,Tony Schumacher,"4,0","3,5",The Responder,
"Elle Fanning,Elle Fanning,Nicholas Hoult",2020 - 2023,"L'ascension d'une jeune et idéaliste demoiselle de 16 ans qui arrive en Russie pour un mariage arrangé avec l'imprévisible Empereur Pierre III. Rêvant d'amour et de douceur de vivre, Catherine II est confrontée dès lors à un monde dangereux, dépravé et barbare. Déterminée à changer les choses, il ne lui reste qu'à tuer son mari, contrer l’église, dérouter les militaires et rallier la Cour à sa cause., ",60 min,"Biopic,Comédie,Drame,Historique",3 Saisons,30 Episodes, U.S.A.,Tony McNamara,"3,4","4,0",The Great,
"Kristen Bell,Ted Danson,William Jackson Harper",2016 - 2020,"Après avoir été percutée et tuée par un semi-remorque, Eleanor se réveille dans ce qui semble être la vie après la mort. Lorsque Michael, l'Architecte des lieux, lui apprend qu'elle est au ""Bon endroit"" compte tenu ses bonnes actions, elle réalise qu'elle a été confondue avec quelqu'un d'autre. L'arrivée d'Eleanor pourrait bien mettre en péril l'équilibre de ce monde où personne ne jure ou ne boit de l'alcool à outrance. La jeune femme va devoir travailler sur elle-même afin de devenir une meilleure personne si elle souhaite conserver sa place dans l'au-delà. Bien entendu, elle sera épaulée par de nouvelles connaissances à l'instar de Chidi, son ""âme soeur"" qui voit toujours le bon côté des gens, ses voisins un peu trop parfaits Tahani et Jianyu, et enfin Janet, véritable source de savoir ambulante...",22 min,"Aventure,Comédie",4 Saisons,51 Episodes, U.S.A.,Michael Schur,"3,6","4,2",The Good Place,
"Peter Krause,Michael C. Hall,Frances Conroy",2001 - 2005,"La vie des membres de la famille Fisher bascule lorsque le père meurt dans un accident, laissant ainsi la direction de la société de pompes funèbres qu'il a fondée à ses deux fils.",42 min,"Comédie,Drame",5 Saisons,63 Episodes, U.S.A.,,"3,9",,Six Feet Under,
"Warren Brown,Alin Sumarwata,Daniel MacPherson",2010 - 2020,"La section 20 du MI-6 déploie ses moyens pour combattre le terrorisme. Les agents de terrain les plus efficaces parcourent le globe pour éradiquer les menaces.,Chris Ryan",52 min,"Action,Espionnage",8 Saisons,76 Episodes," U.S.A., Grande-Bretagne",Andy Harries,"4,2",,Strike Back,
"Ettore Bassi,Francesco Arca,Domenico Fortunato",1994 - 2015,"Un inspecteur de police et son fidèle berger allemand, Rex, font respecter l'ordre à Vienne...",45 min,Policier,18 Saisons,210 Episodes, Autriche,,"1,6",,"Rex, chien flic",Kommissar Rex
"Emily VanCamp,Madeleine Stowe,Joshua Bowman",2011 - 2015,"Une jeune femme retourne vivre dans les Hamptons où elle a passé une partie de son enfance. Sous le pseudonyme d'Emily Thorne, elle a la ferme intention de détruire ceux qui ont brisé son innocence et gâché la vie de son père. Elle est prête à tout pour le venger...",42 min,Drame,4 Saisons,89 Episodes, U.S.A.,Mike Kelley,"4,3",,Revenge,
"Nathalie Emmanuel,Nikesh Patel,Rebecca Rittenhouse",2019,"Quatre amis américains se retrouvent à Londres pour un mariage et voient leurs vies complètement bouleversées à cause d'une révélation explosive faite devant l'autel. Ils ne se doutent alors pas un instant de l'année qui les attend, ponctuée de romances et de peines de coeur. Des relations seront tissées et brisées, des scandales politiques exposés, et bien sûr il y aura quatre mariages... et un enterrement.",60 min,"Comédie,Drame,Romance",1 Saison,10 Episodes, U.S.A.,Mindy Kaling,"2,6","3,3",Quatre mariages et un enterrement,Four Weddings and a Funeral
"Charlie Barnett,Greta Lee,Yul Vazquez",Depuis 2019,"Une femme prise au piège d'une mystérieuse boucle revit sans cesse une nuit de fête à l'issue de laquelle elle meurt... avant de se réveiller le lendemain, indemne.",30 min,"Comédie,Drame",2 Saisons,15 Episodes, U.S.A.,"Natasha Lyonne,Amy Poehler,Leslye Headland","3,9","3,8",Poupée russe,Russian Doll
"Tatiana Maslany,Jordan Gavaris,Kevin Hanchard",2013 - 2017,"Marginale et orpheline, Sarah est témoin du suicide d'une femme. Après réflexion, elle décide de prendre l'identité de cette dernière, qui lui ressemble étonnamment. Elle découvre qu'elles sont en fait deux clones, que d'autres existent et sont la cible d'un tueur qui tente de les éliminer une à une.",42 min,"Science Fiction,Thriller",5 Saisons,50 Episodes," U.S.A., Canada","Graeme Manson,John Fawcett","3,8","4,3",Orphan Black,
"Dan Stevens,Rachel Keller,Aubrey Plaza",2017 - 2019,"L'histoire de David Haller, le fils schizophrène du professeur Xavier, un homme sujet depuis l'adolescence à une maladie mentale. Au cours d'un de ses nombreux séjours en hôpital psychiatrique, une étrange rencontre avec un patient lui fait réaliser que les voix qu'il entend et les visions auxquelles il est confronté pourraient se révéler vraies.",60 min,"Action,Drame,Fantastique",3 Saisons,27 Episodes, U.S.A.,Noah Hawley,"4,2","4,0",Legion,
,2017,Le réalisateur Neill Blomkamp produit une série de courts-métrages expérimentaux qui dépeignent des mondes post-apocalyptiques et des scénarios catastrophes.,15 min,Science Fiction,1 Saison,10 Episodes, Canada,Neill Blomkamp,"3,6",,Oats Studios : Courts-métrages,Oats
"Josh Holloway,Sarah Wayne Callies,Peter Jacobson",2016 - 2018,"Dans un futur proche, les extraterrestes ont colonisé la Terre. Et pourtant, la plupart des humains ne savent pas à quoi ces aliens ressemblent, les personnes chargées de faire régner l'ordre étant des collaborateurs. A Los Angeles, les Bowman vivent comme beaucoup d'autres sous une menace constante. Lorsque le passé de Will, le père de la tribu, remonte à la surface, le gouverneur du secteur offre à cet ancien du FBI de mettre ses compétences à profit pour étouffer la progression de la résistance. Alléchés par la possibilité de retrouver leur fils cadet disparu depuis le jour de l'occupation, Will et son épouse Katie vont devoir prendre la plus difficile décision de leur existence. Choisiront-ils de collaborer... ou de résister ?",42 min,"Drame,Science Fiction,Thriller",3 Saisons,36 Episodes, U.S.A.,"Ryan J. Condal,Carlton Cuse","3,7",,Colony,
"Margarita Levieva,Cillian O'Sullivan,Lydia Fleming",2022,"Jenny est une mère célibataire qui passe des vacances en Europe avec sa fille. Son passé d'ex-espionne du KGB la rattrape quand le CIA s'intéresse à elle notamment pour ses capacités physiques hors normes. Bientôt, une série de meurtres perpétrés par un individu aux mêmes facultés extraordinaires a lieu...",60 min,"Action,Drame,Fantastique,Espionnage",1 Saison,8 Episodes, U.S.A.,Adam Glass,"3,3",,Au service du passé,In From The Cold
"Gillian Anderson,David Duchovny,Mitch Pileggi",1993 - 2018,"Deux agents du FBI sont chargés d'enquêter sur les dossiers non résolus, appelés ""X-files"" la plupart du temps des affaires où le paranormal entre en jeu. L'agent Fox Mulder, malgré le scepticisme de sa co-équipière Dana Scully, tente de prouver sa thèse du complot gouvernement/extra-terrestres... Fox Mulder n'aura de cesse de rechercher sa soeur disparue des années auparavant lorsqu'il avait 12 ans.",42 min,"Policier,Drame,Science Fiction,Thriller",11 Saisons,218 Episodes," U.S.A., Canada,X Files - Régénération,The X Files, le film",Chris Carter,"2,9","3,8",X-Files,The X-Files
"Jenna Coleman,Tom Hughes,Tommy Knight",Depuis 2016,"Les jeunes années de la vie de la Reine Victoria, de son arrivée sur le trône à l'âge de 18 ans, en passant par ses premiers émois et son mariage avec le Prince Albert.",60 min,"Drame,Historique",3 Saisons,25 Episodes, Grande-Bretagne,Daisy Goodwin,"4,2",,Victoria (2016),
"Jérémie Laheurte,Evelyne Brochu,Thibaut Evrard",2021,"1899, la République est au bord de l’explosion, prise en étau entre les ligues nationalistes et antisémites et la menace anarchiste. Le cadavre d’une inconnue retrouvé dans la Seine va propulser un jeune inspecteur ambitieux au cœur d’une enquête criminelle qui révélera un lourd secret d’État. Il va croiser la route de Lépine, de retour à la tête d’une Préfecture vérolée par les luttes de pouvoir, de la première femme avocate et d’une courtisane reconvertie en espionne... Ces personnages que tout oppose vont s’unir pour affronter un coup d’état. La Belle Époque n’a de belle que le nom.",52 min,"Policier,Drame,Historique",1 Saison,14 Episodes, France,Fabien Nury,"3,5","3,6",Paris Police 1900,
"George Blagden,Alexander Vlahos,Tygh Runyan",2015 - 2018,"Versailles, 1667. Louis XIV a 28 ans. Pour soumettre la noblesse et imposer définitivement son pouvoir absolu, il lance la construction de Versailles… comme on tend un piège. Louis XIV est un jeune roi hanté par un traumatisme d’enfance, la Fronde, une rébellion des nobles contre son père, Louis XIII… Il va se révéler être un stratège politique hors du commun, manipulateur, machiavélique, et va ""inventer"" Versailles pour éloigner les nobles de Paris, les garder sous contrôle, et progressivement transformer le château en une prison dorée. Il est aussi capable de passions romanesques. Mais comment les vivre quand on est le plus grand roi du monde ?",52 min,"Drame,Historique",3 Saisons,30 Episodes, France,"Simon Mirren,David Wolstencroft","3,3","4,1",Versailles,
"Veslemøy Mørkrid,Ingeborga Dapkunaite,Ragnhild Gudbrandsen",Depuis 2015,"Dans un futur proche, le Premier ministre norvégien, écologiste convaincu, annonce l’abandon, au profit d’énergies alternatives, de l’exploitation des énergies fossiles qui ont fait la richesse norvégienne. Mandatée par les États de l’Union européenne, la Russie décide aussitôt d’occuper le pays et d’y relancer les forages pétroliers. En quelques heures, Oslo et ses provinces sont mises sous tutelle. Sans chars ni bruits de bottes, la Russie étend son emprise, mettant désormais politiques et citoyens norvégiens face à un dilemme : résister ou collaborer ? Résister, au risque de tout sacrifier à des idéaux patriotiques et démocratiques abstraits, ou s’accommoder de cette omniprésence russe qui perturbe si peu, en apparence, l’ordre des choses ?",42 min,"Drame,Thriller",3 Saisons,24 Episodes," Norvège, Suède, France","Jo Nesbø,Erik Skjoldbjaerg,Karianne Lund","4,1",,Occupied,Okkupert
"Kiernan Shipka,Ross Lynch,Lucy Davis",2018 - 2020,"Les nouvelles aventures de Sabrina imagine l’origine des aventures de Sabrina l’apprentie sorcière comme une sombre histoire axée sur le passage à l’âge adulte à travers l’horreur, les sciences occultes et bien sûr la sorcellerie. Sabrina lutte pour concilier sa double nature – mi-sorcière, mi-mortelle – tout en s’opposant aux forces du mal qui la menacent elle, sa famille et le monde des mortels.",52 min,"Drame,Fantastique,Epouvante-horreur",4 Saisons,36 Episodes, U.S.A.,Roberto Aguirre-Sacasa,"3,2","3,7",Les Nouvelles aventures de Sabrina,Chilling Adventures of Sabrina
" Rita,Dana Ivgy,Mali Levi",Depuis 2018,"Au cours d'une soirée bien arrosée, des assassins éliminent tous les hommes de l’une des plus grandes familles du crime en Israël, menée par le patriarche Jacob Malka. Les femmes de la famille Malka, qui ont soudainement perdu leur statut et leur pouvoir, sont projetées dans une nouvelle réalité dans laquelle elles vont devoir se serrer les coudes. Avides de vengeance, elles vont tenter de rétablir le prestige de la famille en relançant les affaires à leur façon.",60 min,Drame,2 Saisons,21 Episodes, Israël,"Limor Nahmias,Dror Nobleman","3,6",,Mafia Queens,Malkot
"Yannick Bisson,Yannick Bisson,Helene Joy",Depuis 2008,"Toronto 1892. William Murdoch est un jeune et brillant inspecteur qui résout des enquêtes criminelles à l'aide de techniques scientifiques d'avant garde, de l'analyse des empreintes au premier détecteur de mensonges. Son approche originale suscite les moqueries de ses collègues policiers et le scepticisme de son supérieur, mais William Murdoch est souvent le seul à trouver la piste du criminel. Sa meilleure alliée est Julia Ogden, ravissante médecin pathologiste, à l'esprit vif, qui n'a de cesse de se battre contre les préjugés de la société.",46 min,"Policier,Drame",16 Saisons,266 Episodes," Grande-Bretagne, Canada","Alexandra Zarowny,Cal Coons","4,1",,Les Enquêtes de Murdoch,Murdoch Mysteries
"Jean-Luc Reichmann,Jean-Luc Reichmann,Samira Lachhab",Depuis 2013,"Le Commandant Léo Mattéï est à la tête de la Brigade des Mineurs. Doté d’une grande empathie et d’un sens aigu de la justice, cet ancien flic de la BAC dirige une équipe aussi compétente que dévouée et n’hésite pas à bousculer les conventions pour protéger les mineurs, y compris d’eux-mêmes.",52 min,"Policier,Drame",11 Saisons,40 Episodes, France,"Michel Alexandre,Jean-Luc Reichmann,Nathalie Lecoultre","2,6",,"Léo Matteï, Brigade des mineurs",
"Kate del Castillo,Lincoln Palomeque,Lincoln Palomeque",Depuis 2011,"À 23 ans, Teresa Mendoza aime vivre dangereusement. La séduisante jeune femme est la petite amie de Carlo, un trafiquant de drogue qui fait d’énormes profits. De plus en plus influent, il devient l’homme à abattre et est bientôt exécuté par le chef de file du cartel de Sinaloa. Obligée de quitter le continent sud-américain pour rester en vie, Teresa fuit en Espagne.,Mais alors que rien ne la prédestinait à exercer le pouvoir, son amour pour Carlo va la conduire à régner sur un cartel et à devenir ""la reine du Sud"".",45 min,"Action,Drame,Feuilleton,Thriller",3 Saisons,124 Episodes," U.S.A., Espagne",Roberto Stopello,"3,9",,La reine du sud,La Reina del Sur
"Tom Cullen (III),Padraic Delaney,Simon Merrells",2017 - 2019,"Au Moyen Âge, l'ordre du Temple est l'ordre militaire le plus puissant, le plus riche et mystérieux. Parmi ses missions, la protection de la si précieuse relique du Christianisme - le Graal Saint - et la préservation d'immenses secrets jalousement gardés. De leurs relations complexes avec le Roi de France à la trahison qui va provoquer la chute des Templiers, focus sur cette fraternité légendaire de moines guerriers...",60 min,"Aventure,Historique",2 Saisons,18 Episodes," U.S.A., République tchèque","Richard Piers Rayner,Don Handfield","3,4",,Knightfall,
"Abigail Cowen,Hannah van der Westhuysen,Precious Mustapha",2021 - 2022," s'attache au parcours initiatique de cinq fées fréquentant Alfea, pensionnat féerique situé dans l'Autre Monde. C'est là qu'elles doivent apprendre à maîtriser leurs pouvoirs magiques, tout en découvrant l'amour, en surmontant leurs rivalités et en affrontant les monstres qui menacent de les détruire.",60 min,"Aventure,Fantastique",2 Saisons,13 Episodes," U.S.A., Italie","Brian Young,Iginio Straffi","2,6","3,5",Destin : La saga Winx,Fate: The Winx Saga
David Suchet,1989 - 2013,"Hercule Poirot, détective belge, n'a pas son pareil pour résoudre les enquêtes les plus délicates., ",50 min,"Policier,Drame",13 Saisons,70 Episodes, Grande-Bretagne,,"2,6",,Hercule Poirot,Agatha Christie's Poirot
"Sienna Miller,Michelle Dockery,Rupert Friend",Depuis 2022,"La vie privilégiée de Sophie vole en éclats quand des secrets scandaleux font surface et que James, son mari et politicien de haut vol, est accusé d'un crime choquant.",60 min,"Drame,Judiciaire",1 Saison,6 Episodes, U.S.A.,"David E. Kelley,Melissa James Gibson","2,8","3,6",Anatomie d'un scandale,Anatomy Of A Scandal
"Erdoğan Atalay,Erdoğan Atalay,Daniel Roesner",1996 - 2021,"L'équipe Cobra 11, est une unité de police, dont la mission est de s'occuper de la sécurité de l'autoroute... Entre accidents, terrorisme et autres affaires à résoudre, les membres de Cobra 11 ne restent jamais inactifs...",45 min,"Action,Comédie,Policier,Drame",50 Saisons,385 Episodes, Allemagne,Claude Cueni,"2,1",,Alerte Cobra,Alarm für Cobra 11 - Die Autobahnpolizei
"Jae-wook Lee,Min-ho Hwang,Jung So-min",Depuis 2022,Une sorcière puissante incarnée dans le corps d'une femme aveugle rencontre un homme de très bonne famille qui sollicite son aide pour changer son destin.,80 min,"Drame,Fantastique,Arts Martiaux",2 Saisons,30 Episodes, Corée du Sud,,"4,3",,Alchemy of Souls,
"Sofie Gråbøl,Nikolaj Lie Kaas,Morten Suurballe",2007 - 2012,"Qui a violé et tué Nana Brik Larsen ? A Copenhague, la commissaire Sara Lund, mutée à Stockholm, a très peu de temps pour découvrir le meurtrier de cette jeune femme de 19 ans. Mais alors que l'enquête semble impliquer un politicien en vue, la brigade criminelle voit se multiplier les obstacles.",55 min,"Drame,Thriller",3 Saisons,40 Episodes, Danemark,Soren Sveistrup,"4,2",,The Killing,Forbrydelsen
"Ryohei Kimura,Takuya Eguchi,Megumi Han",2019 - 2023,"Plusieurs décennies se sont écoulées depuis qu'Ultraman, le célèbre géant vêtu de rouge et de blanc, a sauvé la Terre d'une destruction certaine. Les actes de bravoure de ce super héros des temps passés sont désormais relégués aux livres d'histoire ou aux musées. Mais qu'arriverait-il si les extraterrestres n'avaient jamais réellement quitté notre planète et coopéraient avec le gouvernement ? Et si la paix n'était finalement qu'un feu de braises attendant patiemment que le vent de la guerre souffle de nouveau ? Mais quand la menace ressurgit, l'humanité doit se trouver un nouveau sauveur, une nouvelle génération d'Ultraman.",23 min,"Action,Animation,Science Fiction",3 Saisons,31 Episodes, Japon,,"3,3",,Ultraman (2019),
"Amy Adams,Patricia Clarkson,Chris Messina",Depuis 2018,"Camille Preaker, reporter, sort tout juste d'un bref séjour à l'hôpital psychiatrique. Elle retourne dans la ville de son enfance pour tenter de résoudre le meurtre de deux jeunes adolescentes auxquelles elle s'identifie énormément...",50 min,"Policier,Drame,Thriller",1 Saison,8 Episodes, U.S.A.,,"4,2","4,2",Sharp Objects,
"Carice van Houten,Maaike Neuville,Halina Reijn",2020 - 2021,"Trois femmes se retrouvent prises dans le monde de la traite d’êtres humains et de la prostitution lorsque le mari d'Esther disparaît soudainement. Venues de milieux complètement différents, ces femmes vont avoir besoin les unes des autres pour se sortir du piège dans lequel elles sont tombées.",48 min,Drame,1 Saison,10 Episodes," Belgique, Pays-Bas","Frank Ketelaar,Halina Reijn,Carice van Houten","3,6",,Red Light,
"Maya Erskine,John Turturro,Alex Huynh",Depuis 2024,"Deux étrangers solitaires se font embaucher par une mystérieuse agence d'espionnage qui leur offre une vie glorieuse d'espionnage, de richesse, de voyages dans le monde entier et un appartement de rêve à Manhattan. Le hic ? Un mariage arrangé avec de nouvelles identités en tant que M. et Mme John et Jane Smith. Désormais mariés, John et Jane exécutent chaque semaine une mission à haut risque tout en faisant face à une nouvelle étape dans leur relation. Leur histoire de couverture devient encore plus complexe lorsqu'ils éprouvent de vrais sentiments l'un pour l'autre. Qu'est-ce qui est le plus risqué : l'espionnage ou le mariage ?",60 min,"Action,Comédie,Espionnage",2 Saisons,8 Episodes, U.S.A.,"Donald Glover,Francesca Sloane","3,5","2,8",Mr. & Mrs. Smith (2024),
